"business_id","date","review_id","stars","text","type","user_id","votes_cool","votes_funny","votes_useful","name","categories","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"Nw8lWJRGybAsciao9h-R2Q","2014-04-16","Jf9iPQcPc3tBgTtotJHF5g",5,"I typically try to wait until I have a few experiences with a restaurant before jumping into a review.   So much can change from visit to visit that I always find it a bit presumptuous to assume that a place is 5 stars worth of awesome or 1 star worth of non-awesome based on one measly visit.   And yet one measly visit to the Bronze Cafe, oh, 2 hours ago, and here I am anointing it with 5 stars.   

Enter the Tree of Life.   The Tree of life stars Brad Pitt in a Malick film about the life and the universe.   Yelp/RottenTomatoes Crossover alert!   Okay so this Pita stuffed with veggies and other vegan goodies like a cashew crema and a brazil nut crumble has nothing to do with the movie, but much like I had left the theater after seeing Tree of Life, I had a lot of questions about this Tree of Life after I left Bronze Cafe.   Namely:  was that one of the tastiest pita breads I've ever had? (yes).    Did I really just enjoy a Pita stuffed without any meat products?  (yes).   Did I really just order something called ""Banana Boy Bait""?  (YES)   Well how I really ordered it was I said something along the lines of ""and one of those banana bread things"".    Then the guy who seemed to be running the joint goes ""Banana Boy Bait?!""  to which I looked around sheepishly before saying yes.   It's totally worth any stares you might receive though.   It lasted all of 3 minutes on the table.   I'm not joking when I say I plan to try every sandwich and every Vegan dessert on the menu before my own personal Tree of Life wilts away and has me feasting on dirt and worms.   

Service was friendly, quick and efficient.   The dining area was clean and there wasn't any air of pretentiousness that I think Vegan friendly places can oftentimes be stereotyped with.   In fact it was the complete opposite.

I didn't need to use the restroom so I didn't get to participate in the gender neutrality that it provides.   The thought excites me though because I've heard from some of my female friends that sometimes you all have couches in there sometimes and I'm curious how this translates here.  I've got my fingers crossed for a La-Z-Boy recliner personally.","review","aK8shZb9dEQNyxk5ycfO2A",8,8,8,"Bronze Cafe","Food,Vegetarian,Coffee & Tea,Vegan,Restaurants",6,12,9,5,9,0,5,15,10,18
"L9UYbtAUOcfTgZFimehlXw","2014-12-26","hyyqIbVNmX5LaZAp7_hIEA",4,"Food id very good but sometime a long wait
to get in.","review","6oXbWSyJ3A9gb_dowe3tgw",0,0,0,"Liberty Market","Food,Coffee & Tea,American (New),Restaurants",0,3,0,0,2,0,1,2,1,2
"bqYrEwL5xjqv0u8XAij--Q","2014-03-17","eV4ay0lF3wqpw7IjooNpqA",3,"For those who would want a break from your usual Tapioca Express or Tea N More across the street, Tea Station is a lovely cafe to have some tea and unwind. Their selection of teas is tremendous and is one of the few tea places I know in LV that carries tea beyond just black or green or jasmine. And they're served in little teapots!

The decor is clean and inviting. The staff is mostly nice. I've only had one run in where a staff member seemed frazzled but I'll chalk it up to being her first day. The food is not something I'd bank on. I've only had their snacks, so I can't comment on real meals as of yet. But they're all right seeing as the primary focus is the tea.

A variety of drinks are available also as they have a large menu. Try the thai iced tea or the green tea ice cream drink. Both very tasty. 

A tip to the wise: Order loose leaf teas so that you could refill on hot water over and over again.","review","eZbuwD3okMObLRWlFi_U5A",2,2,2,"Tea Station","Food,Coffee & Tea,Taiwanese,Restaurants",1,3,0,0,7,2,4,9,1,14
"IoFggnoj1P4EcmNEP2K6Ng","2013-11-30","uJAEhHbNDUOZGklXG6-GOg",3,"Saturday afternoon, I came here while my car was being worked on at Discount Tire nearby. 

For a Saturday afternoon, I was surprised how busy the place was.  There were only 2 tables open (both with 2 chairs) outside of the study area.  In the study area, there was another seat.  Wow!

The staff (one who assisted me and one who worked the drive through window) made it a point to say hello when I walked up to the counter.  In viewing the sample sized reeses dessert on the counter, I asked if I could try one.  The taste...fantastic.  I asked if any of the coffee beverages came with a free refill, and was advised that none were free, but a refill was only 50 cents, regardless of what size I purchased.  I figured with 45 minutes to wait on the car, I would manage to go through 4 small cups (10 ounce) or 2 large cups (16 ounce), and the initial outlay for the first cup was only 50 cents different, so my best bet was the large cup.  

After I got my cup and added sugar and cream, I looked for a table.  One of the 2-seat tables I saw available had an empty cup and dirty napkins on it.  As I approached, someone from across the room advised the table was taken, so I moved on.  I found another table by the window in a small space next to the study room.  As the table top was sticky, I went back to the counter and asked if I could get a rag to wipe the table down.  Normally, when I have made such a request at other coffee shops, someone would come and wipe down/clean up the table.  This time, I was given a rag and advised to return it when I was done. 

The coffee was respectable.  It was decently hot, and certainly not ""weak"".  Maybe the management wants to consider staffing a third person when it is as busy as it was on Saturday.  Maybe this was an exception...I am just not accustomed to wiping down my table before I sit.","review","8qe2c5uRlAkvNFvDriBm1Q",0,0,0,"Xtreme Bean Coffee Co","Food,Coffee & Tea",1,4,2,0,3,0,2,9,4,11
"Qnip6i9Zyd76QZ3X8elWjQ","2011-06-26","6k2fv2V30SaxudJpl_g6Sg",4,"This weekend I was put in charge of finding a Friday night dinner venue for 8 people. Requirements: Hearty food, on a budget + veggie options.

A number of my favourite haunts made the short-list, but in the end I opted for Moo & I'm very glad I did!

Every Friday evening, Moo hold a burger night and it's BYOB (with no corkage fee!). The restaurant advertises the night as running from 6pm 'til 9pm, but on booking, the owner was happy to agree that we could use the venue after this time. Our table reservation was for 8pm and we stayed until just after 10pm. The staff didn't rush us at all & we had an excellent time.

The food:

The burger night portions at Moo are very generous and we were full to the brim on leaving. The menu offers a choice of no-fuss starters (garlic bread, soup, onion rings, garlic mushrooms, coleslaw & salad) and a selection of five main course burger toppings that can be served with a beef, chicken or bean burger. All main courses are served with salad, coleslaw and a portion of seriously tasty hand-cut, homemade chips.

I opted for a chicken burger, topped with bacon & Mull of Kintyre cheddar - it was absolutely delicious. The only disappointment was that the bread was rather ordinary. Tasty rolls from a local Edinburgh bakery would bump my rating up to 5 stars.

The service:

The owners and other staff at Moo are friendly, helpful and attentive. 

Originally, I'd booked our table for 8.30pm, but moved our reservation to 8pm at quite short notice - the restaurant had no issue at all with this.

The Moo website had unfortunately been hacked and the burger menu was unavailable to download (issue now resolved), but within a few minutes of coming off the phone, the owner had emailed a copy to me, so that I could share it with friends.
 
We brought along a selection of prosecco, white wine & red wine (from the wonderful Cornelius on Easter Road) and as Moo charge no corkage fee this made a massive difference to the total bill; a very pocket-friendly £8 per head!

For hearty food on a budget, I highly recommend burger nights at Moo Cafeteria.

Moo can be reached by bus on the #23, #27 and #8 routes and is well-placed for after dinner drinks in Canonmills, Broughton Street & Stockbridge.","review","r45qgallWCKeMJO9d94J3g",0,0,1,"Moo Cafeteria","Food,Breakfast & Brunch,Coffee & Tea,Restaurants",4,9,1,3,14,3,1,16,6,26
"v09FoMKbdO0Af5G_9fWbBg","2013-09-13","MrfHjRwK_W7Ts0GUrEZqsQ",1,"Worst Espresso EVER. And my steak and egg combo was ICE cold. If I could give 0 stars I would.","review","KSfpJZiryTgU_V8uxkTkxg",0,0,1,"Dunkin' Donuts","Food,Donuts,Coffee & Tea",0,0,0,0,0,0,0,0,1,0
"BQjGE1Z3nk253XzIZqt8Gg","2013-07-01","M28XqSlGsQE1XSyoGotLnA",4,"I had the berry gelato. It was sooooo good!! Very fresh and perfect for a hot day outside! It taste very fresh and i can tell they use quality ingredients. My niece had the mango gelatto and for me not liking mango, hers was also VERY good and tasted surprisingly just like biting into a real mango. would definitely recommend and return!","review","YG3Je8BAVH3VU02xCWd9ww",0,0,0,"Jean Philippe Patisserie","Food,Desserts,Coffee & Tea,Cafes,Restaurants",1,4,0,0,4,0,3,6,0,6
"wIsoQXDI4X6elYxTvkD_Rw","2013-08-22","5pJPy4ByqoITCkZ7Js74Ig",4,"I stopped in here late one night before making a very long 7+ hour drive back to Long Island. It was a wet, chilly night and what I needed most was a solid cup of joe.

This place got the job done in splendid fashion and I only wish I could have stayed longer, as the place had a vibe all at once cozy and inviting. Hailed as the best coffee shop on the South Side of Pittsburgh, I was excited to test the claim and did so with a Cadbury Creme Egg Latte.

The drink was beyond good. There was no creme egg mixed in - it was simply a concoction of flavors set to mimick the taste of one, combined with strong, rich coffee. My girlfriend and I were blown away. I remember her remarking, ""Can't you taste the difference? Of this versus a Starbucks or Dunkin Donuts?"" And I had to admit that yes, this was good coffee, full of natural flavors and with premium ingredients.

We walked around the place and the decor was cute. Very old school, with a blackboard and chalk to note the day's selections and lots of colors and funky props. Even a mini chandelier above the display cases!

They had soups, pies, cookies, breads, pastry, gelato. Everything looked tasty. There was also outdoor seating available.

Sadly, we were at the end of the trip and only got the lattes. Next time we are back in town, we'll stay longer and sample the baked goods.

Reasons for subtracting a star are pretty much due to not having enough exposure to give this place an ""all-time best"" recommend and also problems with parking (tiny lot, very little street parking). Certainly the coffee was great and our barista was friendly and knowledgeable.

I am excited to make a return visit and try more epic coffee goodness!","review","g9wYe2v-Z-l9dWRxb7di6w",0,0,0,"Big Dog Coffee","Food,Desserts,Coffee & Tea",1,12,0,0,11,2,8,11,4,20
"MbrG2h5sEH-V3AkQYcX8Sw","2014-11-09","zi-ivHhohfkcICAUE6yVag",3,"Decent starbucks, several times I've had to ask for a discount when waiting over 10 minutes in the drive thru (most others will just give it to you at that point). Inside is clean, clean bathrooms as well, however no baby changing stations.","review","i12pkZvWH4elKnoeVvRT7A",0,2,0,"Starbucks","Food,Coffee & Tea",0,0,0,0,2,0,0,1,0,3
"Rek1Z8kgqexDvZMqYzsKJA","2014-11-23","_Mu4mVH1i4uC-K70Qyrr0Q",5,"Noticed this place couple weeks ago while i was walking my dog and thought it looked interesting but never had the pleasure to try their ice cream until yesterday when i received coupon in the mail.

I had a  coupon for buy one get one free. I ordered large size to go in with the coupon I received another large size for free. Large size included three scoops of either ice cream or gelato. I ordered strawberry, chocolate, coconut sherbet, and coffee gelato. Strawberry was more on the sour side then creamy, but it was still delicious. Chocolate ice cream was very chocolatey. Coffee gelato was A OK.

Overall, we were satisfied with their quality of ice cream and gelato. We will return especially its in walking distance from our home.","review","Aq23-C-vFts-Zj2pXQqvWw",0,0,0,"Cream City Cafe","Food,Gelato,Coffee & Tea,Ice Cream & Frozen Yogurt",0,8,1,0,8,0,4,2,1,12
"BTocruqR_yiWqySYNI4Drg","2011-09-07","WxPF5CLdHVkBAmVASGvBzQ",5,"Great little mom and pop coffee shop in old Henderson. Not a destination spot, but check it out if you're in the area and need a caffeine fix. Really friendly service and cozy atmosphere. She makes a great large mocha for $4, medium for $3","review","AJoyva4SnxZGDon3xK9GZg",0,0,0,"Mocha Joe","Food,Coffee & Tea",0,2,0,1,2,1,2,1,1,2
"mAroewSrpGEkBYdBHmE5kw","2014-08-23","lF7JL5VTf4lxY7E9SmFCwQ",4,"Their awesome during the week. But their weekend crew has huge inconsistencies in how the drinks taste. Give the weekend crew some retraining! They always forget to give me my stamp card back too!","review","_OvpcNnTo9K7G_9uRBSeFw",0,0,0,"Talebu Coffee & Wine Bar","Coffee & Tea,Music Venues,Food,Arts & Entertainment,Bars,Wine Bars,Nightlife",0,0,0,0,0,0,0,2,1,0
"eg2XOKi3iLTVsOGEBoAbhg","2014-12-07","COyg05Zg1LdcSofr9u8TbA",3,"The place: nice but not ""WOW!amazing!"". Just regular! Really pretty style but personally despersive. A lot of people going there. At 7o clock it was almost full. WELCOME: the waiter who received us at the beginning was annoyed. As we preferred a table to the one he gave us he was manifestly bothered! The second waitress was vitriolic. The third just interested to let us pay. SALTED DISHES: really good even if the salad wasn't fresh. The BROWNIES: special! I took the one with nut. Yummy, dense, really good percentage of chocolate, bits of crunchy nuts. I'll try it againfor and again for food! Really special.","review","w1VpZNUEUSihnZkEfyQrkQ",0,0,0,"Juliette & Chocolat","Food,Specialty Food,Coffee & Tea,Desserts,Chocolatiers & Shops",0,6,1,0,8,1,2,6,0,11
"wWl_iYyMktneImhsOZg4dQ","2010-09-28","va2i_lnYtTq4leSBIRDPQw",3,"Café équitable.

Petit menu honnête. du type déjeuners/dîner (viennoiseries, omelettes, sandwiches, soupe)

Grand espace sympathique.

Internet via Île-Sans-Fil.","review","nxMJoqgBVhkNpl9UnxLAZA",1,0,1,"Café Le Placard","Food,Coffee & Tea",0,0,0,0,0,0,0,0,0,0
"SJKNSd29vc3KzS03kKP0jA","2013-10-25","iYLCVUtk_DUwtuGTMujL3w",5,"We discovered this place a year a ago and have been going regularly since. The coffee is amazing and other coffee shops can't compare! The Vanilla Granita is delicious! The staff is extremely kind too.","review","OyK70joZSgfDj55MJwbEMg",0,0,0,"The Human Bean","Food,Coffee & Tea",0,0,0,0,2,0,0,1,0,2
"L-NzaroskDG7cwW9OJJadw","2014-03-27","YfkufAyaqScUPiixZbyz9g",4,"Although this location doesn't carry the same charm as the one in Boca Park, I find it more welcoming, comfortable, and convenient.

It's located on Jones just off of the 215 next to Tropical Smoothie and near Sierra Gold/Kyara. Small inside but ample outdoor seating with shade. Working drive through for those on the go. 

Baristas here are awesome and are very consistent. I've had my drinks taste very milky at the other location but here, my drinks have been a perfect balance between coffee and milk. I always opt for the nutella latte, nutella cappucino, or chocolate cappucino with almond milk. Heads up, their shots of espresso ""are large enough that they count as two""-according to the baristas. No tall, grande, ventis here-size availabilities are 12 oz for hot drinks and 12 oz or 16 oz for the iced lattes. 

If you get one of their cards, after 15 drinks, your next is free. My only complaint is that your tab can rack up here. Their drinks and pastries get pretty pricey.","review","GFA3-HWRVLkf2pmZ7jZZhQ",3,2,3,"Sambalatte Torrefazione","Food,Coffee & Tea,Cafes,Restaurants",2,3,0,0,3,1,0,4,3,9
"vW4G1hwiW6LkuhAfbeRfqg","2014-08-16","W5M_6FmzZIWAlXbSeng16A",5,"I don't see why this restaurant  gets a  2 1/2 star. In my opinion, it was one of the best restaurant I've been to in Vegas. My friend and I ordered escargot to share. It was our first time trying it.  It was soooo good. I would eat it again. I ordered the rotisserie chicken and my friend got the steak. The chicken was juicy and delicious. My friend said the steak was juicy. Service was good, so was the food. I will be back next time I'm in Vegas.","review","Po3bZvi9-iwRCz10HMZpzQ",0,0,0,"Le Cafe Ile Saint Louis","Food,Coffee & Tea,Breakfast & Brunch,French,Restaurants",0,6,0,2,9,0,2,8,0,10
"v7e-GIGgEIFANhHsywlhrw","2014-09-29","Y4BlA-REiE2oELP6RqMcMQ",5,"I've eaten here numerous times. The food is amazing. Service is friendly. Shakes are delicious. Great atmosphere. It never disappoints.","review","6v9gdMMqB5h5qo3El3g5Dw",0,0,0,"Square Cafe","Food,Vegetarian,Coffee & Tea,Breakfast & Brunch,Restaurants",0,1,0,0,3,0,0,2,0,3
"2f8o3-FRnq3rwmstUCOZ7A","2014-04-10","VEHcEYlyT9MjDjG0cFcUMw",3,"This was a weird place. Located in the Treasure Island Casino they served just regular coffee, dessert and Vietnamese food. I get a little miffed when a place that just serves regular coffee calls themselves a coffee shop. 

One our first night in Vegas we came here for dessert but we were seated at a food table anyway. I had the chocolate ice box cake and hubby had the ice cream Sundae. He didn't the Sundae, the cake was good but too much chocolate. 

I think it was pretty overpriced too but a lot of Vegas is overpriced.","review","F18Ip1C8G0wVYFduIOpckw",0,0,0,"The Coffee Shop","Food,Breakfast & Brunch,Coffee & Tea,Restaurants",1,7,2,0,8,1,2,8,3,8
"bqYrEwL5xjqv0u8XAij--Q","2012-02-22","M6YFq3DfhYv2jsMzyiUOZA",1,"Every time I come here I expect to get better service than the time before.. and I'm always wrong. The servers seem as if they're too busy to care. There's always a crowd at night and people like to spend more than just a couple minutes here.  Parking can be difficult in this complex too. I don't think the boba is exceptional to make up for the poor service either. I guess if you with good company and you're craving boba late at night, this is just where everyone goes..","review","KZbGVE_WXynQkyexynHKvg",0,1,1,"Tea Station","Food,Coffee & Tea,Taiwanese,Restaurants",0,4,0,1,1,1,3,2,2,2
"zT1YculChGH2SuomkPDWZQ","2012-05-24","gYSIzpJxuzKmvy7c5dnALw",3,"Critique mitigée sur un salon de narguilé. 

++ : La Sangria est bonne, le thé a la menthe est pas cher et bon (difficile a rater quand même), la shisha vient avec 2 charbons et ils manquent rarement de saveurs. L'ouverture du 2e étage. Le service agréable et le magasin de cigare en bas. Ils prennent la carte aussi, yé !

- bof : Les lumières rouges tamisées qui rendent l'atmosphère super lourd. La musique arabe a un niveau de décibels hallucinant, on peut a peine s'entendre,  la chaleur étouffante des nuits d'été , Le fait qu'ils essaient d'installer 120 personnes dans un endroit pouvant en contenir 75. ( très mal assis ) 

En gros, si j'ai vraiment envie de prendre une shisha et que mon endroit préféré est plein  ce qui arrive souvent, je vais au Gitana. Ce n'est jamais mon premier choix.","review","dhVuDuzCimescgn83tWQOA",0,0,1,"Café Gitana","Food,Coffee & Tea,Hookah Bars,Bars,Nightlife",0,1,0,0,0,0,0,0,0,3
"mkLVdKIReJQicOT8a4O7YQ","2014-06-01","nK-RYbiF7eDcPDdbhS3Y6w",1,"Slowest Starbucks in history no matter how many people they have working. The best Starbucks in the area is at the frys at 59th or safeway at 67th. If the kiosks could give the reward drinks I would never have to go to a store again.","review","WEM_ou56bjh4g1xgTfGwlQ",0,0,0,"Starbucks","Food,Coffee & Tea",0,2,0,0,1,0,1,1,0,3
"S_hwMengYTR6qapEbBBxOg","2010-02-21","zbSC_0EuFUm7dXjBBn03Mg",5,"I love this place! 
-Great Coffee
-Nice Wine Selection
-Small but Quality Microbrew Selection
-Free WiFi
-Nice Owners

When we're in town visiting I always leave our son with Grandma for an hour or so to visit Wine at the Pines. I first learned about WP when my mom mentioned that there was a place opening up in town that was going to be serving Metropolis Coffee. 
For those of you who are not familiar with Metropolis, it's the best coffee ever! We live in Chicago just down the block from the Metropolis mothership and there isn't a better cappuccino to be had anywhere. They import and roast their own beans and do it so well that they were rated the best coffee shop in Chicago. Whole Foods has started selling their coffee as well. 
But I digress. 
Aside from the coffee at WP you can browse their wine cellar, have a sandwich, sample good cheeses and pasta or gorge yourself on baked goods like I'm doing right now.
In the front of the cafe there are a few tables and chairs and two bars. In the back there's some more tables and some comfy-looking leather chairs.
My only criticism is that I would like for them to be open earlier than noon on sundays.","review","EF6JymlENkybJjzi6TsjoQ",1,0,1,"Wines At the Pines","Food,Wine Bars,Coffee & Tea,Bars,Nightlife",1,2,1,0,2,2,2,2,5,6
"cQPfmuNQJ7nkehjFlRGxhg","2012-02-11","GeGYr2mu6pSMgfehze3c9g",4,"GF Coffee is a convenient stop for refreshments after enjoying a massage at Good Foot Spa. Located next door, this little gem is bright and genuine. I enjoyed a hot honey rose boba tea--a dark colored, clear, sweet tea served in a paper coffee cup for $3-4. The tea goes well with the fresh Chinese dumplings. How do I know they were fresh? I smelled them cooking during my massage next door (what a great advertisement!). The dumplings are as big as a pizza pocket but made with eggs, green onion and shrimp. Two for $5 is the perfect price.

The friendly attendant wore a red uniform and offered a stamp card. If you order 8 drinks, you get one free. I lose these types of cards or toss them, but they're nice for organized regulars.","review","F9kZ5zBvRdejSNtjtiNeiA",3,1,3,"GFW Coffee","Food,Coffee & Tea",2,6,1,1,10,2,4,9,1,15
"G1ub1s3EELLrGWqrq3a2tw","2014-04-25","MQ6cddwdF0mxeGXOWeyUyg",3,"I cannot believe that such a great place can spiral to such a bad thing.  I have been coming here for years.  They were at a different location and it seems like their new spot just hasn't had the same appeal. 

In the West Valley it is near impossible to find a spot with good beers and wines and this place has so much to be desired because they have the beer and wines, but the horrible service and food just leaves you disappointed. 

The staff just have no attention to the customers and at times they are understaffed.  I understand the constraints of staff but maybe a different approach to leadership can help this place because the clientele is still coming in but even talking with people I know, everyone agrees the service is just bad.","review","giwch_jkHmILclbawH3FSg",1,0,9,"Ground Control","Food,Coffee & Tea,Pizza,Gastropubs,Restaurants",4,4,4,3,3,4,1,2,5,4
"2lt03ZLGvgPApOKS7eKGOQ","2012-03-28","g_eHLtGkZ9VoUGk-Km89Yg",5,"This is a really great place...I'm very happy to have a coffee shop at this location again.
Staff was friendly...coffee was good...can't ask for much more!","review","Dta4mJjev396oshvD-8NcQ",1,0,1,"Grouchy John's Coffee Shop","Food,Coffee & Tea",0,3,0,0,3,0,1,3,0,3
"CsyODVepq3jkB-9JKpoTfw","2010-07-03","JVcAuO9ZTxQ14WB2Ux3hiw",3,"This is what happens when you try to look like everyone else, you end up becoming so average that it hurts your customers souls. There is nothing special about this place what so ever, nothing bad about it either! I want to hate this place but I can't, it simply is what it is. Prices are average, staffs chat was average and decor was plain...

If Tesco made coffee shops...","review","5zbaSr7qSPwb0E_Bzy64rw",0,0,0,"Press Coffee","Food,Desserts,Coffee & Tea,Sandwiches,Restaurants",2,0,2,2,1,2,0,0,2,1
